Source,Target,Weight
cirrhosis,indifferent mood,179
paroxysmalÂ dyspnea,clonus,179
arthritis,shortness of breath,179
pancreatitis,patient non compliance,179
arthritis,atypia,179
arthritis,general unsteadiness,179
arthritis,swelling,179
arthritis,syncope,179
arthritis,asthenia,179
stenosis aortic valve,hypotension,178
ulcer peptic,suicidal,178
failure kidney,hypotonic,178
pneumonia aspiration,chest tightness,178
upper respiratory infection,splenomegaly,178
PneumocystisÂ cariniiÂ pneumonia,agitation,177
osteoporosis,rale,177
pancreatitis,breath-holding spell,177
edema pulmonary,shortness of breath,176
adenocarcinoma,night sweat,176
malignant neoplasm of prostate,hypotension,176
diverticulosis,asthenia,176
pneumonia aspiration,scleralÂ icterus,176
diverticulosis,hot flush,176
schizophrenia,pain,176
paranoia,pain abdominal,175
incontinence,spasm,175
malignant neoplasm of prostate,asthenia,175
overload fluid,apyrexial,175
glaucoma,projectile vomiting,175
glaucoma,swelling,175
overload fluid,superimposition,174
encephalopathy,diarrhea,174
hyperlipidemia,feeling suicidal,174
pneumonia aspiration,poor dentition,173
parkinson disease,shortness of breath,173
paranoia,withdraw,173
cardiomyopathy,pulsusÂ paradoxus,173
hepatitis,apyrexial,173
PneumocystisÂ cariniiÂ pneumonia,enuresis,173
Alzheimer's disease,qt interval prolonged,172
PneumocystisÂ cariniiÂ pneumonia,muscle twitch,172
transient ischemic attack,alcohol binge episode,172
bronchitis,hepatosplenomegaly,172
bronchitis,productive cough,172
bronchitis,fever,172
bronchitis,snuffle,172
bronchitis,throat sore,172
bronchitis,labored breathing,172
bronchitis,haemoptysis,172
bronchitis,dyspnea,172
bronchitis,hacking cough,172
bronchitis,chill,172
bronchitis,stridor,172
bronchitis,decreased body weight,172
hemiparesis,drowsiness,171
hemiparesis,fremitus,171
hemiparesis,paresis,171
hemiparesis,speech slurred,171
hemiparesis,focal seizures,171
hemiparesis,stupor,171
hemiparesis,hemiplegia,171
hemiparesis,abnormal sensation,171
hemiparesis,unresponsiveness,171
hemiparesis,aphagia,171
hemiparesis,seizure,171
incontinence,vomiting,171
hemiparesis,facial paresis,171
hemiparesis,clonus,171
encephalopathy,polyuria,171
hemiparesis,asthenia,171
stenosis aortic valve,fremitus,171
hemiparesis,dysarthria,171
hemiparesis,paralyse,171
hemiparesis,stinging sensation,171
hemiparesis,Stahli's line,171
gout,sweating increased,170
diverticulitis,pleuritic pain,170
diverticulosis,energy increased,170
benign prostatic hypertrophy,sleeplessness,170
paranoia,food intolerance,170
Alzheimer's disease,hyperkalemia,170
oralÂ candidiasis,vomiting,170
glaucoma,frail,170
thrombocytopaenia,breech presentation,170
manic disorder,spasm,170
arthritis,unsteady gait,170
malignantÂ neoplasms,tremor,170
osteoporosis,apyrexial,169
osteoporosis,lightheadedness,169
osteoporosis,numbness of hand,169
osteoporosis,hirsutism,169
osteoporosis,sniffle,169
osteoporosis,urge incontinence,169
osteoporosis,vertigo,169
osteoporosis,out of breath,169
gastritis,cough,169
osteoporosis,fall,169
osteoporosis,syncope,169
osteoporosis,bradykinesia,169
osteoporosis,night sweat,169
osteoporosis,distended abdomen,169
osteoporosis,prostatism,169
osteoporosis,pain,169
kidney failure acute,suicidal,168
transient ischemic attack,neck stiffness,168
transient ischemic attack,Stahli's line,168
oralÂ candidiasis,rale,168
transient ischemic attack,extrapyramidal sign,168
bipolar disorder,spontaneous rupture of membranes,168
hypoglycemia,fever,168
transient ischemic attack,clumsiness,168
transient ischemic attack,rambling speech,168
transient ischemic attack,difficulty,168
transient ischemic attack,syncope,168
transient ischemic attack,lightheadedness,168
transient ischemic attack,headache,168
hypoglycemia,pain,168
transient ischemic attack,vision blurred,168
Alzheimer's disease,wheezing,168
transient ischemic attack,room spinning,168
paranoia,rale,168
transient ischemic attack,speech slurred,168
transient ischemic attack,dysarthria,168
transient ischemic attack,facial paresis,168
Alzheimer's disease,enuresis,168
transient ischemic attack,asthenia,168
transient ischemic attack,numbness,168
transient ischemic attack,vertigo,168
stenosis aortic valve,distended abdomen,167
upper respiratory infection,productive cough,167
gastroesophageal reflux disease,fever,167
exanthema,palpitation,167
deglutition disorder,dyspnea on exertion,167
adenocarcinoma,decreased body weight,166
adenocarcinoma,fremitus,166
adenocarcinoma,lesion,166
adenocarcinoma,mass of body structure,166
adenocarcinoma,satiety early,166
adenocarcinoma,decreased stool caliber,166
adenocarcinoma,constipation,166
adenocarcinoma,scar tissue,166
suicide attempt,shortness of breath,166
respiratory failure,pain,166
upper respiratory infection,hypotension,166
adenocarcinoma,cicatrisation,166
suicide attempt,jugular venous distention,166
adenocarcinoma,hematochezia,166
adenocarcinoma,egophony,166
carcinoma prostate,hypokalemia,166
adenocarcinoma,pain,166
diverticulitis,abdominal tenderness,166
adenocarcinoma,pain abdominal,166
carcinoma breast,hypokalemia,166
paroxysmalÂ dyspnea,sweat,165
paroxysmalÂ dyspnea,weight gain,165
paroxysmalÂ dyspnea,cough,165
incontinence,asthenia,165
paroxysmalÂ dyspnea,jugular venous distention,165
paranoia,neologism,165
paranoia,homelessness,165
paranoia,terrify,165
paroxysmalÂ dyspnea,rale,165
paroxysmalÂ dyspnea,pain chest,165
paroxysmalÂ dyspnea,palpitation,165
paroxysmalÂ dyspnea,dyspnea,165
paroxysmalÂ dyspnea,sweating increased,165
incontinence,syncope,165
incontinence,fall,165
incontinence,stiffness,165
incontinence,unresponsiveness,165
paroxysmalÂ dyspnea,orthopnea,165
paroxysmalÂ dyspnea,shortness of breath,165
suicide attempt,burning sensation,165
incontinence,urge incontinence,165
incontinence,unconscious state,165
incontinence,aura,165
incontinence,moody,165
incontinence,fear of falling,165
incontinence,tremor,165
paroxysmalÂ dyspnea,dyspnea on exertion,165
incontinence,unhappy,165
pancreatitis,nausea,165
paranoia,suicidal,165
paranoia,feeling suicidal,165
pancreatitis,pain abdominal,165
pancreatitis,vomiting,165
diverticulitis,difficulty,165
paranoia,loose associations,165
pancreatitis,sore to touch,165
incontinence,paraparesis,165
incontinence,seizure,165
paranoia,decompensation,165
paranoia,cicatrisation,165
paranoia,scar tissue,165
paranoia,blackout,165
manic disorder,haemorrhage,165
pancreatitis,rigor - temperature-associated observation,165
pancreatitis,stool color yellow,165
pancreatitis,diarrhea,165
pancreatitis,apyrexial,165
paranoia,verbal auditory hallucinations,165
candidiasis,yellow sputum,165
pancreatitis,pain,165
paranoia,mood depressed,165
paranoia,energy increased,165
candidiasis,pruritus,165
paranoia,irritable mood,165
paranoia,agitation,165
paranoia,hallucinations visual,165
colitis,fatigue,165
upper respiratory infection,adverse reaction,164
hernia,sore to touch,164
hernia,haemorrhage,164
hernia,apyrexial,164
hernia,hemiplegia,164
Alzheimer's disease,unconscious state,164
hernia,excruciating pain,164
malignant neoplasm of prostate,fever,164
hernia,posturing,164
hernia,nausea,164
hernia,thicken,164
hernia,hyperventilation,164
hernia,pain abdominal,164
hernia,pulse absent,164
hernia,food intolerance,164
hernia,mass of body structure,164
hernia,gag,164
primary carcinoma of the liver cells,feeling suicidal,164
malignant neoplasm of prostate,hemianopsia homonymous,163
carcinoma prostate,rhonchus,163
malignant neoplasm of prostate,vertigo,163
malignant neoplasm of prostate,qt interval prolonged,163
malignant neoplasm of prostate,ataxia,163
malignant neoplasm of prostate,paresis,163
malignant neoplasm of prostate,pleuritic pain,163
malignant neoplasm of prostate,hemodynamically stable,163
malignant neoplasm of prostate,mass of body structure,163
malignant neoplasm of prostate,rhonchus,163
malignant neoplasm of prostate,orthostasis,163
malignant neoplasm of prostate,guaiac positive,163
carcinoma prostate,orthostasis,163
carcinoma prostate,decreased body weight,163
malignant neoplasm of prostate,tumor cell invasion,163
malignant neoplasm of prostate,breath sounds decreased,163
malignant neoplasm of prostate,diarrhea,163
malignant neoplasm of prostate,dysuria,163
malignant neoplasm of prostate,dysesthesia,163
malignant neoplasm of prostate,polymyalgia,163
malignant neoplasm of prostate,passed stones,163
malignant neoplasm of prostate,hematuria,163
malignant neoplasm of prostate,urge incontinence,163
malignant neoplasm of prostate,rale,163
carcinoma prostate,urge incontinence,163
carcinoma prostate,dysuria,163
carcinoma prostate,diarrhea,163
carcinoma prostate,qt interval prolonged,163
carcinoma prostate,ataxia,163
carcinoma prostate,breath sounds decreased,163
carcinoma prostate,rale,163
sickle cell anemia,hypokinesia,163
carcinoma colon,fever,163
carcinoma prostate,pleuritic pain,163
carcinoma prostate,passed stones,163
carcinoma prostate,polymyalgia,163
carcinoma prostate,asthenia,163
carcinoma prostate,dysesthesia,163
carcinoma prostate,hematuria,163
carcinoma prostate,mass of body structure,163
carcinoma prostate,hemodynamically stable,163
carcinoma prostate,tumor cell invasion,163
carcinoma prostate,hemianopsia homonymous,163
malignant neoplasm of prostate,decreased body weight,163
parkinson disease,hemodynamically stable,162
overload fluid,bedridden,162
thrombocytopaenia,suicidal,162
respiratory failure,sinus rhythm,161
edema pulmonary,rale,161
suicide attempt,breech presentation,161
arthritis,pruritus,161
edema pulmonary,hypotension,161
edema pulmonary,pain chest,161
edema pulmonary,sinus rhythm,161
edema pulmonary,tachypnea,161
edema pulmonary,patient non compliance,161
edema pulmonary,sweat,161
edema pulmonary,jugular venous distention,161
edema pulmonary,urgency ofÂ micturition,161
edema pulmonary,dyspnea,161
edema pulmonary,sweating increased,161
edema pulmonary,wheezing,161
candidiasis,breath sounds decreased,161
schizophrenia,wheezing,161
edema pulmonary,Heberden's node,161
edema pulmonary,orthopnea,161
edema pulmonary,chest discomfort,161
edema pulmonary,hyperkalemia,161
lymphatic diseases,fremitus,160
lymphatic diseases,splenomegaly,160
lymphatic diseases,night sweat,160
lymphatic diseases,chill,160
hernia,tachypnea,160
lymphatic diseases,egophony,160
lymphatic diseases,fatigue,160
lymphatic diseases,hepatomegaly,160
lymphatic diseases,redness,160
paranoia,hoarseness,160
lymphatic diseases,pain,160
lymphatic diseases,decreased body weight,160
lymphatic diseases,swelling,160
lymphatic diseases,hyperacusis,160
lymphatic diseases,fever,160
bronchitis,fremitus,160
parkinson disease,pain abdominal,159
hyperglycemia,fever,159
thrombocytopaenia,shortness of breath,159
personality disorder,ascites,159
kidney failure acute,decreased translucency,159
paranoia,hypoalbuminemia,159
carcinoma,night sweat,159
stenosis aortic valve,bradycardia,158
respiratory failure,gurgle,158
stenosis aortic valve,systolic murmur,158
stenosis aortic valve,dyspnea on exertion,158
stenosis aortic valve,frothy sputum,158
stenosis aortic valve,pain chest,158
stenosis aortic valve,sciatica,158
stenosis aortic valve,syncope,158
stenosis aortic valve,angina pectoris,158
stenosis aortic valve,chest discomfort,158
diverticulitis,mass in breast,158
stenosis aortic valve,pain,158
carcinoma of lung,hemiplegia,157
Alzheimer's disease,orthopnea,157
upper respiratory infection,patient non compliance,157
diverticulitis,lesion,157
lymphoma,palpitation,157
carcinoma prostate,r wave feature,157
pneumonia aspiration,fear of falling,157
transient ischemic attack,diarrhea,157
hypoglycemia,wheelchair bound,156
carcinoma prostate,tonic seizures,156
bacteremia,fever,156
bipolar disorder,hyperacusis,156
malignant tumor of colon,urge incontinence,155
lymphatic diseases,blackout,155
hepatitis,colic abdominal,155
hepatitis B,unconscious state,154
tricuspid valve insufficiency,scar tissue,154
stenosis aortic valve,unhappy,153
diverticulosis,tumor cell invasion,153
respiratory failure,r wave feature,153
malignant neoplasm of breast,mass in breast,152
malignant neoplasm of breast,erythema,152
carcinoma breast,estrogen use,152
carcinoma breast,formication,152
carcinoma breast,swelling,152
carcinoma breast,difficulty,152
malignant neoplasm of breast,burning sensation,152
carcinoma breast,mass in breast,152
malignant neoplasm of breast,retropulsion,152
malignant neoplasm of breast,paresthesia,152
malignant neoplasm of breast,swelling,152
malignant neoplasm of breast,estrogen use,152
malignant neoplasm of breast,mass of body structure,152
malignant neoplasm of breast,formication,152
malignant neoplasm of breast,lesion,152
malignant neoplasm of breast,difficulty,152
carcinoma breast,burning sensation,152
carcinoma breast,dyspnea,152
carcinoma breast,lesion,152
melanoma,arthralgia,152
tricuspid valve insufficiency,diarrhea,152
malignant neoplasm of breast,dyspnea,152
carcinoma breast,erythema,152
carcinoma breast,paresthesia,152
carcinoma breast,retropulsion,152
carcinoma breast,mass of body structure,152
candidiasis,orthopnea,152
overload fluid,syncope,151
melanoma,behavior hyperactive,151
carcinoma breast,chest discomfort,151
pericardial effusion body substance,vomiting,150
pneumonia aspiration,fever,150
thrombocytopaenia,diarrhea,150
diverticulosis,wheezing,149
deglutition disorder,numbness,149
bacteremia,apyrexial,149
ketoacidosis diabetic,chest tightness,149
primary carcinoma of the liver cells,hypotension,149
diverticulosis,pain abdominal,149
sickle cell anemia,irritable mood,148
mitral valve insufficiency,moan,148
malignant neoplasm of prostate,redness,148
sickle cell anemia,snuffle,148
parkinson disease,cushingoidÂ habitus,148
failure kidney,scratch marks,148
oralÂ candidiasis,urge incontinence,148
malignant neoplasm of prostate,chill,148
hernia,titubation,148
neuropathy,seizure,148
stenosis aortic valve,sleepy,147
schizophrenia,underweight,147
schizophrenia,irritable mood,147
neuropathy,apyrexial,147
neoplasm,throbbing sensation quality,147
schizophrenia,hallucinations auditory,147
paroxysmalÂ dyspnea,verbally abusive behavior,147
schizophrenia,hypersomnolence,147
schizophrenia,verbal auditory hallucinations,147
carcinoma breast,painful swallowing,147
edema pulmonary,nausea,147
sickle cell anemia,scratch marks,147
schizophrenia,agitation,147
schizophrenia,suicidal,147
schizophrenia,homelessness,147
schizophrenia,patient non compliance,147
pneumonia aspiration,syncope,146
lymphoma,pain,146
malignant tumor of colon,night sweat,146
parkinson disease,cicatrisation,146
tonic-clonic seizures,green sputum,146
diverticulitis,constipation,145
diverticulitis,monoclonal,145
diverticulitis,anorexia,145
diverticulitis,thicken,145
diverticulitis,fever,145
diverticulitis,pain,145
tricuspid valve insufficiency,asthenia,145
Alzheimer's disease,fever,145
diverticulitis,apyrexial,145
diverticulitis,sinus rhythm,145
diverticulitis,unsteady gait,145
spasm bronchial,excruciating pain,145
diverticulitis,vomiting,145
diverticulitis,diarrhea,145
neoplasm metastasis,urinary hesitation,145
diverticulitis,sore to touch,145
hernia,erythema,145
candidiasis,asthenia,145
diverticulitis,colic abdominal,145
diverticulitis,abscess bacterial,145
diverticulitis,red blotches,145
diverticulitis,dysuria,145
diverticulitis,pain abdominal,145
diverticulitis,dullness,145
diverticulitis,tremor,144
suicide attempt,heme positive,144
overload fluid,rale,144
overload fluid,jugular venous distention,144
suicide attempt,facial paresis,144
overload fluid,hyperkalemia,144
edema pulmonary,paresthesia,144
overload fluid,hypotension,144
overload fluid,hypokalemia,144
overload fluid,swelling,144
colitis,stiffness,144
overload fluid,drowsiness,144
sickle cell anemia,nightmare,144
overload fluid,distended abdomen,144
overload fluid,weight gain,144
overload fluid,orthopnea,144
overload fluid,sleepy,144
hepatitis,awakening early,143
ulcer peptic,gurgle,143
ulcer peptic,pain chest,143
ulcer peptic,hemiplegia,143
ulcer peptic,vomiting,143
ulcer peptic,polymyalgia,143
ulcer peptic,nausea,143
ulcer peptic,out of breath,143
upper respiratory infection,hyponatremia,143
bacteremia,productive cough,143
ulcer peptic,apyrexial,143
ulcer peptic,nervousness,143
ulcer peptic,hunger,143
ulcer peptic,pain abdominal,143
carcinoma breast,worry,143
osteomyelitis,apyrexial,142
osteomyelitis,erythema,142
hyperglycemia,verbal auditory hallucinations,142
bacteremia,flushing,142
osteomyelitis,abscess bacterial,142
osteomyelitis,pain foot,142
osteomyelitis,urinary hesitation,142
osteomyelitis,difficulty passing urine,142
osteomyelitis,swelling,142
osteomyelitis,sore to touch,142
bacteremia,unresponsiveness,142
bacteremia,indifferent mood,142
osteomyelitis,redness,142
osteomyelitis,pain,142
bacteremia,pallor,142
bacteremia,vomiting,142
bacteremia,hypoalbuminemia,142
bacteremia,urinoma,142
bacteremia,distended abdomen,142
bacteremia,decreased translucency,142
bacteremia,pustule,142
bacteremia,diarrhea,142
bacteremia,abdominal tenderness,142
bacteremia,pleuritic pain,142
hemiparesis,suicidal,142
bacteremia,prostatism,142
osteomyelitis,fever,142
osteomyelitis,prostate tender,142
upper respiratory infection,lesion,142
bacteremia,chill,142
paroxysmalÂ dyspnea,hypokinesia,142
incontinence,muscle twitch,141
diverticulitis,sleeplessness,141
Alzheimer's disease,palpitation,141
Alzheimer's disease,numbness of hand,141
PneumocystisÂ cariniiÂ pneumonia,hyponatremia,141
oralÂ candidiasis,shortness of breath,141
gastritis,haemorrhage,140
sickle cell anemia,headache,140
gastritis,guaiac positive,140
sickle cell anemia,hepatosplenomegaly,140
gastritis,intoxication,140
bipolar disorder,snore,140
gastritis,nausea,140
gastritis,disequilibrium,140
gastritis,heme positive,140
hemiparesis,distress respiratory,140
sickle cell anemia,pain chest,140
failure kidney,haemorrhage,140
failure kidney,enuresis,140
failure kidney,bedridden,140
tonic-clonic epilepsy,motor retardation,140
sickle cell anemia,pain back,140
sickle cell anemia,breakthrough pain,140
failure kidney,fatigue,140
failure kidney,hypotension,140
failure kidney,prostatism,140
failure kidney,shortness of breath,140
failure kidney,no status change,140
upper respiratory infection,sore to touch,140
osteomyelitis,pansystolic murmur,140
sickle cell anemia,apyrexial,140
sickle cell anemia,green sputum,140
sickle cell anemia,shortness of breath,140
sickle cell anemia,pain,140
failure kidney,unresponsiveness,140
failure kidney,extreme exhaustion,140
failure kidney,slowing of urinary stream,140
failure kidney,orthopnea,140
failure kidney,oliguria,140
gastritis,pain abdominal,140
gastritis,vomiting,140
gastroenteritis,stridor,140
gastritis,dizziness,140
gastritis,sore to touch,140
failure kidney,pain,139
lymphoma,regurgitates after swallowing,139
obesity,extreme exhaustion,139
psychotic disorder,lesion,139
failure heart,heme positive,139
bipolar disorder,difficulty passing urine,139
suicide attempt,dullness,139
diverticulosis,colic abdominal,139
malignant neoplasm of prostate,hallucinations auditory,139
failure heart,dyspnea,138
failure heart,jugular venous distention,138
failure heart,angina pectoris,138
Alzheimer's disease,hemodynamically stable,138
failure heart,fatigue,138
failure heart,systolic ejection murmur,138
failure heart,hypokinesia,138
failure heart,pansystolic murmur,138
failure heart,dyspnea on exertion,138
failure heart,shortness of breath,138
failure heart,orthopnea,138
hypoglycemia,shortness of breath,138
failure heart,hypotension,138
hepatitis,photopsia,138
suicide attempt,sweat,138
gout,drowsiness,138
hepatitis,vomiting,138
colitis,haemorrhage,137
gastritis,leftÂ atrialÂ hypertrophy,137
gastroenteritis,feeling hopeless,137
carcinoma breast,adverse reaction,137
pancreatitis,headache,137
hypertension pulmonary,shortness of breath,137
hyperglycemia,red blotches,136
suicide attempt,pain,136
tonic-clonic epilepsy,stridor,136
malignant tumor of colon,wheezing,136
oralÂ candidiasis,sweat,136
candidiasis,hyperkalemia,136
diverticulosis,gurgle,136
malignant tumor of colon,tired,136
failure heart,diarrhea,136
parkinson disease,jugular venous distention,136
upper respiratory infection,pleuritic pain,135
upper respiratory infection,night sweat,135
upper respiratory infection,polymyalgia,135
upper respiratory infection,frail,135
upper respiratory infection,emphysematous change,135
upper respiratory infection,nasal discharge present,135
upper respiratory infection,noisy respiration,135
epilepsy,hypokinesia,135
lymphatic diseases,syncope,135
upper respiratory infection,rhonchus,135
upper respiratory infection,decreased translucency,135
upper respiratory infection,apyrexial,135
upper respiratory infection,rapid shallow breathing,135
upper respiratory infection,hemodynamically stable,135
upper respiratory infection,symptom aggravating factors,135
upper respiratory infection,cough,135
upper respiratory infection,cystic lesion,135
upper respiratory infection,barking cough,135
hepatitis,rale,135
upper respiratory infection,fever,135
upper respiratory infection,indifferent mood,135
upper respiratory infection,egophony,135
upper respiratory infection,snuffle,135
upper respiratory infection,non-productive cough,135
upper respiratory infection,dyspnea,135
parkinson disease,phonophobia,135
upper respiratory infection,stuffy nose,135
upper respiratory infection,throat sore,135
upper respiratory infection,wheezing,135
upper respiratory infection,shortness of breath,135
carcinoma prostate,apyrexial,135
stenosis aortic valve,bedridden,134
kidney disease,general discomfort,134
tonic-clonic seizures,motor retardation,134
oralÂ candidiasis,dysarthria,134
bronchitis,numbness,134
colitis,moody,134
carcinoma prostate,enuresis,133
hepatitis,pruritus,133
hepatitis,ascites,133
malignant tumor of colon,egophony,133
hepatitis,spontaneous rupture of membranes,133
hepatitis,chill,133
hepatitis,transaminitis,133
hepatitis,distress respiratory,133
hepatitis,fever,133
hepatitis,projectile vomiting,133
hepatitis,anorexia,133
melanoma,cough,133
hepatitis,pain abdominal,133
hepatitis,tachypnea,133
colitis,headache,133
hypoglycemia,drowsiness,132
personality disorder,tremor,132
edema pulmonary,uncoordination,132
lymphoma,wheezing,131
schizophrenia,tenesmus,131
hernia,focal seizures,131
diverticulosis,feeling hopeless,131
personality disorder,blackout,131
failure kidney,orthostasis,131
kidney disease,tired,131
transient ischemic attack,tremor,130
lymphoma,prostatism,130
malignantÂ neoplasms,sleeplessness,130
bacteremia,spontaneous rupture of membranes,130
glaucoma,chill,130
encephalopathy,patient non compliance,130
hepatitis B,transaminitis,130
hernia,dyspnea on exertion,130
stenosis aortic valve,cushingoidÂ habitus,129
osteomyelitis,yellow sputum,129
exanthema,unresponsiveness,129
failure kidney,mass of body structure,129
carcinoma colon,painful swallowing,129
candidiasis,distress respiratory,129
PneumocystisÂ cariniiÂ pneumonia,pleuritic pain,128
oralÂ candidiasis,has religious belief,128
fibroid tumor,polyuria,128
suicide attempt,abnormal sensation,128
hypertension pulmonary,heavy legs,128
hypertension pulmonary,breath sounds decreased,128
hypertension pulmonary,leftÂ atrialÂ hypertrophy,128
hypertension pulmonary,neck stiffness,128
hernia,swelling,128
hypertension pulmonary,Stahli's line,128
parkinson disease,debilitation,128
hypertension pulmonary,dyspnea on exertion,128
hypertension pulmonary,hypotension,128
suicide attempt,mood depressed,127
Alzheimer's disease,cardiovascular event,127
upper respiratory infection,pain abdominal,127
tonic-clonic seizures,clammy skin,127
primary carcinoma of the liver cells,bowel sounds decreased,127
hepatitis,charleyhorse,127
parkinson disease,pain,127
neoplasm metastasis,seizure,127
sickle cell anemia,orthopnea,126
deglutition disorder,hoarseness,126
deglutition disorder,spasm,126
gastritis,fever,126
deglutition disorder,dysdiadochokinesia,126
deglutition disorder,asthenia,126
Alzheimer's disease,sweating increased,126
deglutition disorder,paresthesia,126
PneumocystisÂ cariniiÂ pneumonia,mass of body structure,126
deglutition disorder,ataxia,126
deglutition disorder,achalasia,126
deglutition disorder,stridor,126
deglutition disorder,painful swallowing,126
deglutition disorder,titubation,126
carcinoma colon,difficulty passing urine,126
deglutition disorder,side pain,126
deglutition disorder,decreased body weight,126
cardiomyopathy,passed stones,126
deglutition disorder,stiffness,126
deglutition disorder,dysarthria,126
psychotic disorder,erythema,125
malignant neoplasm of lung,hypotonic,125
pericardial effusion body substance,syncope,125
carcinoma of lung,cushingoidÂ habitus,125
gout,patient non compliance,124
malignant neoplasm of lung,pain abdominal,124
gout,erythema,124
overload fluid,prostate tender,124
gout,ascites,124
gout,hot flush,124
tonic-clonic epilepsy,dysesthesia,124
PneumocystisÂ cariniiÂ pneumonia,feeling suicidal,124
tricuspid valve insufficiency,shortness of breath,124
gout,emphysematous change,124
gout,hypokinesia,124
gout,sore to touch,124
gout,redness,124
carcinoma of lung,vomiting,124
neuropathy,ascites,124
fibroid tumor,mood depressed,124
gout,pain,124
candidiasis,dysuria,124
tonic-clonic seizures,difficulty passing urine,124
emphysema pulmonary,agitation,124
gout,swelling,124
respiratory failure,hyponatremia,123
thrombocytopaenia,haemorrhage,123
thrombocytopaenia,ecchymosis,123
thrombocytopaenia,fever,123
diverticulosis,cough,123
osteomyelitis,mental status changes,123
thrombocytopaenia,pruritus,123
carcinoma prostate,hepatosplenomegaly,123
gastroenteritis,tachypnea,123
thrombocytopaenia,hypotension,123
tonic-clonic epilepsy,dyspnea,123
malignant tumor of colon,presence of q wave,123
thrombocytopaenia,posteriorÂ rhinorrhea,123
glaucoma,shortness of breath,123
thrombocytopaenia,tachypnea,123
primary carcinoma of the liver cells,nausea and vomiting,123
lymphoma,blackout,123
tonic-clonic epilepsy,tinnitus,123
neuropathy,hallucinations auditory,123
thrombocytopaenia,monocytosis,123
hypoglycemia,hypotension,122
hepatitis B,scar tissue,122
diverticulosis,irritable mood,122
hypoglycemia,clammy skin,122
hypoglycemia,polyuria,122
failure heart,drowsiness,122
oralÂ candidiasis,jugular venous distention,122
herniaÂ hiatal,neologism,122
hypoglycemia,qt interval prolonged,122
malignant neoplasm of lung,heavy feeling,122
hypoglycemia,lameness,122
hypoglycemia,unconscious state,122
hypoglycemia,claudication,122
hypoglycemia,"hypothermia, natural",122
hypoglycemia,incoherent,122
hypoglycemia,unresponsiveness,122
diverticulosis,night sweat,122
hypoglycemia,distress respiratory,122
carcinoma breast,bedridden,121
candidiasis,feeling strange,121
ketoacidosis diabetic,unresponsiveness,121
tricuspid valve insufficiency,hydropneumothorax,121
ketoacidosis diabetic,green sputum,121
manic disorder,hypersomnolence,121
Alzheimer's disease,haemoptysis,121
malignant neoplasm of prostate,weepiness,121
hepatitis,hemianopsia homonymous,121
upper respiratory infection,prostatism,121
hepatitis,mass of body structure,121
spasm bronchial,motor retardation,120
carcinoma prostate,unconscious state,120
parkinson disease,painful swallowing,120
respiratory failure,colic abdominal,120
carcinoma colon,speech slurred,120
malignant tumor of colon,emphysematous change,120
malignant tumor of colon,dyspnea,120
pneumonia aspiration,gurgle,119
pneumonia aspiration,cough,119
pneumonia aspiration,transaminitis,119
pneumonia aspiration,stupor,119
pneumonia aspiration,decreased translucency,119
Alzheimer's disease,loose associations,119
hepatitis,mediastinal shift,119
suicide attempt,haemorrhage,119
pneumonia aspiration,clonus,119
pneumonia aspiration,mediastinal shift,119
neoplasm metastasis,pain abdominal,119
pneumonia aspiration,mental status changes,119
pneumonia aspiration,hemiplegia,119
pneumonia aspiration,seizure,119
malignant neoplasm of lung,sensory discomfort,119
pneumonia aspiration,pain abdominal,119
pneumonia aspiration,diarrhea,119
pneumonia aspiration,pain,119
pneumonia aspiration,unresponsiveness,119
pneumonia aspiration,extreme exhaustion,119
ketoacidosis diabetic,urge incontinence,118
colitis,unresponsiveness,118
melanoma,ascites,118
personality disorder,muscle twitch,118
endocarditis,drowsiness,118
neuropathy,agitation,118
deglutition disorder,patient non compliance,118
Alzheimer's disease,ecchymosis,118
diverticulitis,sleepy,117
neoplasm metastasis,decreased body weight,117
PneumocystisÂ cariniiÂ pneumonia,lung nodule,117
gout,syncope,117
thrombocytopaenia,chill,117
melanoma,estrogen use,117
PneumocystisÂ cariniiÂ pneumonia,pain,117
Alzheimer's disease,hypotension,117
lymphoma,haemorrhage,117
carcinoma colon,cough,117
hepatitis,gag,116
malignant tumor of colon,pain back,116
oralÂ candidiasis,apyrexial,116
pneumonia aspiration,absences finding,116
lymphoma,unresponsiveness,116
parkinson disease,orthopnea,116
suicide attempt,guaiac positive,116
oralÂ candidiasis,night sweat,115
diverticulitis,fatigue,115
pneumonia aspiration,thicken,115
parkinson disease,hypokinesia,115
colitis,unhappy,115
carcinoma breast,debilitation,115
Alzheimer's disease,painful swallowing,115
melanoma,hemiplegia,115
malignantÂ neoplasms,tumor cell invasion,115
PneumocystisÂ cariniiÂ pneumonia,thicken,115
carcinoma of lung,fatigability,114
colitis,awakening early,114
colitis,pain,114
colitis,nausea,114
colitis,nausea and vomiting,114
diverticulosis,lightheadedness,114
diverticulosis,diarrhea,114
colitis,vomiting,114
diverticulosis,constipation,114
diverticulosis,abscess bacterial,114
diverticulosis,fecaluria,114
diverticulosis,heme positive,114
colitis,urge incontinence,114
colitis,tenesmus,114
colitis,hemodynamically stable,114
colitis,pain abdominal,114
suicide attempt,hallucinations auditory,114
diverticulosis,feeling suicidal,114
suicide attempt,motor retardation,114
suicide attempt,unable to concentrate,114
suicide attempt,weepiness,114
suicide attempt,todd paralysis,114
suicide attempt,difficulty,114
colitis,green sputum,114
